trip1, sequence1, lat, long, trip2, sequence2, lat2,long2
271,7090,19.3062499437,-98.9737310934,149,3841,19.3062698034,-98.9737310934
580,14754,19.4969579,-99.1183729,59,7751,19.4969579,-99.1183729
336,8662,19.3209873376,-99.0839261449,90,2361,19.3209015498,-99.0839261449
176,4568,19.3033966022,-99.1245946801,577,14704,19.3033558918,-99.1245946801
449,11361,19.34245558,-99.0478072392,226,5815,19.3424569023,-99.0478072392
83,2215,19.3695839015,-99.1220928283,37,940,19.3695843802,-99.1220928283
35,895,19.3077836003,-99.2302487678,193,4913,19.3078177647,-99.2302487678
18,12861,19.457021199,-99.0804392242,91,2369,19.4570262207,-99.0804392242
79,2082,19.4522715347,-99.1858489673,100,9869,19.4523064588,-99.1858489673
490,12327,19.3431359994,-99.0408765995,449,11365,19.3431272586,-99.0408765995
537,13618,19.4776271937,-99.0445881281,408,10307,19.4776218732,-99.0445881281
569,14515,19.3024320242,-99.1462670108,610,15619,19.302496472,-99.1462670108
454,11468,19.3144342006,-99.1364200881,217,5559,19.3143604051,-99.1364200881
613,15695,19.3722848235,-99.0974289483,79,9297,19.3722867584,-99.0974289483
265,15216,19.3294088739,-99.1245884512,39,1009,19.3294096027,-99.1245884512
139,3592,19.5382951023,-99.0595732335,377,9545,19.5382679477,-99.0595732335
100,9879,19.4229117691,-99.1268022723,189,4830,19.4229146896,-99.1268022723
429,10878,19.3364828895,-99.0809734551,14,410,19.3364011369,-99.0809734551
618,15815,19.4504076017,-99.0579975014,197,5007,19.4504184398,-99.0579975014
219,12053,19.427623647,-99.1796401047,44,1184,19.4276467602,-99.1796401047
16,6548,19.4212593695,-99.0957130172,81,2178,19.4211851684,-99.0957130172
162,4235,19.3066528501,-99.2336789658,391,9859,19.3067302349,-99.2336789658
22,651,19.3043456954,-99.0599702053,194,4950,19.3043732101,-99.0599702053
75,1999,19.5184655122,-99.1475738353,67,1803,19.5185378924,-99.1475738353
413,10371,19.3828612868,-99.076102254,78,2066,19.3829131691,-99.076102254
597,15257,19.5047504325,-99.1116112027,552,14043,19.5047272423,-99.1116112027
46,15447,19.4642272357,-99.0808717915,72,13967,19.464161702,-99.0808717915
8,187,19.4033025523,-99.1963969773,215,15230,19.403306488,-99.1963969773
310,10804,19.453117085,-99.059731214,618,15816,19.4531469797,-99.059731214
449,11313,19.3717313778,-99.1368087637,226,5773,19.3717201653,-99.1368087637
124,3156,19.324399377,-99.1730979576,266,6961,19.3244438833,-99.1730979576
314,8133,19.3504380531,-99.0733812029,512,12932,19.3504177884,-99.0733812029
66,1791,19.4583466,-99.2143752,583,15401,19.4582930945,-99.2143752
275,15179,19.4656045141,-99.0751169657,262,6847,19.4656061031,-99.0751169657
245,6291,19.5048023864,-99.1115021489,535,13550,19.5048141155,-99.1115021489
119,3056,19.5134951942,-99.2134432005,388,9793,19.5134311188,-99.2134432005
80,2135,19.2994096125,-99.1500599781,105,2755,19.2994447969,-99.1500599781
170,4412,19.3688609777,-99.1820642165,83,15278,19.3688579107,-99.1820642165
13,387,19.5557790207,-99.0264152825,58,1584,19.5558364541,-99.0264152825
89,2336,19.4583974427,-99.2143555685,66,1794,19.4583466,-99.2143555685
75,2010,19.5185052086,-99.1562908939,67,1810,19.5184866866,-99.1562908939
499,12570,19.375916,-99.1888605,249,6453,19.375916,-99.1888605
517,13083,19.3031756643,-99.1246159544,577,14703,19.3032407517,-99.1246159544
489,12307,19.3914419556,-99.0460761087,28,738,19.391408441,-99.0460761087
124,3194,19.284825754,-99.194807883,198,16004,19.2848218638,-99.194807883
577,14701,19.2925217896,-99.1255567624,517,13075,19.2924346846,-99.1255567624
425,10797,19.3562012986,-99.0922595073,543,13836,19.3561951448,-99.0922595073
97,5844,19.3377337433,-99.1963044076,20,563,19.3377296917,-99.1963044076
543,13836,19.3561951448,-99.0923092901,425,10797,19.3562012986,-99.0923092901
433,10982,19.2939802377,-99.1724418108,225,5761,19.2940111763,-99.1724418108
112,2914,19.4083095543,-98.981660118,259,8843,19.408268671,-98.981660118
611,15655,19.3948596688,-99.07323546,231,11283,19.3947964217,-99.07323546
609,15575,19.3898967493,-99.2050673098,1,3482,19.389890296,-99.2050673098
308,7976,19.4580895851,-99.2144931633,89,8976,19.458046603,-99.2144931633
325,8428,19.2859775481,-99.1921099829,198,5037,19.2859626705,-99.1921099829
35,892,19.3057795105,-99.2340183605,317,8252,19.305777956,-99.2340183605
498,12498,19.4617404697,-99.0603950858,478,12093,19.4617509008,-99.0603950858
177,4600,19.3707072879,-99.074760615,578,14724,19.3707884076,-99.074760615
187,4794,19.3458824879,-99.1899269763,164,4264,19.3459147069,-99.1899269763
89,8972,19.4568283738,-99.2150453893,583,15390,19.4568096504,-99.2150453893
268,6988,19.3964183354,-99.20746596,638,16432,19.3964169775,-99.20746596
647,16650,19.3019105044,-99.1472240696,569,14519,19.3019262744,-99.1472240696
67,1809,19.5200057016,-99.1568774404,333,8624,19.5200013178,-99.1568774404
102,16701,19.510874767,-99.1928907619,94,2448,19.5108804501,-99.1928907619
46,1233,19.4507851,-99.0794283,299,7791,19.4507600078,-99.0794283
176,4557,19.2672400178,-99.1159449707,577,16247,19.2672432661,-99.1159449707
8,198,19.382408972,-99.2526548319,288,7527,19.3823899693,-99.2526548319
110,2903,19.3893717568,-99.0597030869,247,6396,19.3894098241,-99.0597030869
128,3273,19.3158299651,-99.0627512354,194,8323,19.3158467257,-99.0627512354
199,5090,19.2974205974,-99.1368244646,414,10401,19.2973935087,-99.1368244646
216,16159,19.3732983498,-99.0991586857,48,4719,19.3732217781,-99.0991586857
275,7177,19.4770211352,-99.1215529554,262,6858,19.4769939484,-99.1215529554
33,857,19.324403,-99.1733082,621,15906,19.3244679447,-99.1733082
237,6088,19.4527325321,-99.1280967206,403,10150,19.4527228404,-99.1280967206
457,11724,19.4124380655,-99.1569124038,525,13257,19.4124215431,-99.1569124038
101,2683,19.2557624694,-99.0112239219,70,1859,19.2558444051,-99.0112239219
78,13286,19.412745206,-99.083109017,257,13486,19.4127445431,-99.083109017
144,3723,19.2833940487,-99.2031483963,500,12601,19.2834220097,-99.2031483963
156,4025,19.3039277871,-99.1451599414,610,15620,19.3038989376,-99.1451599414
528,13409,19.4814305094,-99.1933877852,459,11568,19.4814274922,-99.1933877852
225,5755,19.292342196,-99.1782444962,198,5049,19.2924264147,-99.1782444962
58,1562,19.4964626,-99.0824421,260,6787,19.49653127,-99.0824421
537,13647,19.4789061094,-99.0972226603,248,6433,19.4788991554,-99.0972226603
375,9491,19.2645477738,-99.1080333807,165,16535,19.2645417,-99.1080333807
371,9415,19.3077428894,-99.230316174,35,895,19.3077836003,-99.230316174
504,12732,19.6259443863,-99.0785465443,244,6267,19.6259083445,-99.0785465443
424,10780,19.4910659751,-99.1688480632,92,4490,19.4909892852,-99.1688480632
336,8648,19.3134709301,-99.0570663748,194,6321,19.3134602295,-99.0570663748
151,3902,19.2998326138,-99.1028660123,159,4105,19.2998388169,-99.1028660123
515,13008,19.4207694643,-99.0575032883,125,12396,19.4207690026,-99.0575032883
273,15375,19.3721992689,-99.1031841007,83,2210,19.372242875,-99.1031841007
507,12805,19.3370602599,-99.1857491991,317,8262,19.3370642404,-99.1857491991
580,14750,19.4969579,-99.1183729,59,7751,19.4969579,-99.1183729
343,8808,19.3028752223,-99.1459390474,500,12575,19.3029179148,-99.1459390474
44,1194,19.4640104881,-99.1129685212,18,530,19.4639856717,-99.1129685212
194,4949,19.3049856146,-99.0617210572,22,649,19.3049897308,-99.0617210572
59,7747,19.490350577,-99.118592264,45,1225,19.490315965,-99.118592264
102,15979,19.4989694157,-99.1842275041,579,14740,19.4988837261,-99.1842275041
12,333,19.4165894119,-99.1789584494,16,6516,19.4165792383,-99.1789584494
231,11271,19.4179031975,-99.0737549526,370,9405,19.4179115991,-99.0737549526
504,12697,19.4859709417,-99.1034218438,363,9222,19.4859147532,-99.1034218438
14,434,19.3635165428,-99.1020359266,543,13826,19.3635228798,-99.1020359266
2,68,19.4515371275,-99.0786301125,527,13349,19.4514996,-99.0786301125
41,15321,19.3030677372,-99.1858238713,124,3173,19.3030619528,-99.1858238713
165,16549,19.2549499161,-99.0664836942,61,5991,19.2549498279,-99.0664836942
35,896,19.3091726154,-99.2286578772,97,2546,19.3092488833,-99.2286578772
310,7995,19.4805977248,-99.0665135903,537,13638,19.4805861268,-99.0665135903
647,16651,19.2942162851,-99.1568878569,384,9719,19.294263528,-99.1568878569
257,13498,19.3835863551,-99.0760086655,78,13308,19.3836125796,-99.0760086655
326,8446,19.2998524318,-99.1465343347,27,720,19.2998335964,-99.1465343347
331,8565,19.4722796716,-99.2106593199,230,5904,19.4722865935,-99.2106593199
441,11180,19.4189641436,-99.1776624966,12,336,19.4189462974,-99.1776624966
266,6967,19.3076388,-99.1805365,198,5056,19.3076388,-99.1805365
8,203,19.3614127042,-99.2883608435,288,7537,19.3614661093,-99.2883608435
325,8435,19.2830200579,-99.2043355217,500,12604,19.283001515,-99.2043355217
226,5781,19.3713241871,-99.1299571589,449,11318,19.3713214973,-99.1299571589
332,14359,19.4281937998,-99.0466003637,282,7336,19.428194822,-99.0466003637
414,10424,19.3582118367,-99.1699194804,156,4046,19.3582190582,-99.1699194804
14,411,19.3364023681,-99.0809900177,429,10878,19.3364828895,-99.0809900177
69,1846,19.3359197322,-99.0771377389,14,412,19.3359309823,-99.0771377389
139,3574,19.4823610436,-99.1063400287,617,15787,19.4823261965,-99.1063400287
278,7225,19.3292235049,-99.147587425,156,4039,19.3291413614,-99.147587425
329,9143,19.5353217143,-99.0641725387,139,3588,19.5353334344,-99.0641725387
449,11338,19.3600879658,-99.093594642,543,13834,19.3600505549,-99.093594642
10,307,19.2644813626,-99.1081148391,165,16538,19.2644974,-99.1081148391
18,12891,19.4212901288,-99.1773735889,45,13529,19.4212927692,-99.1773735889
275,7177,19.4770211352,-99.1215529554,122,3126,19.4770158446,-99.1215529554
8,186,19.4036119874,-99.1937293484,29,744,19.4036200725,-99.1937293484
587,14951,19.3785211654,-99.069520487,177,4606,19.3785424679,-99.069520487
183,4734,19.3437247645,-99.1416097456,621,15940,19.3437236298,-99.1416097456
270,7032,19.4841081905,-99.134720975,95,2474,19.4841605902,-99.134720975
211,7694,19.4138380379,-99.0417070905,55,12989,19.4138419978,-99.0417070905
194,12067,19.3442806591,-99.0643374852,435,11032,19.3442389596,-99.0643374852
262,6859,19.4769939484,-99.1214741974,275,7177,19.4770211352,-99.1214741974
372,9454,19.3083730499,-99.1345531101,199,5087,19.3083789055,-99.1345531101
260,6778,19.4890988557,-99.0681306268,72,13953,19.489142381,-99.0681306268
193,4900,19.2799629717,-99.232384031,97,5870,19.2798982816,-99.232384031
177,4593,19.3565279839,-99.086805979,257,6677,19.3565295041,-99.086805979
169,11508,19.337294091,-99.1841971313,285,7430,19.3372714012,-99.1841971313
257,6691,19.3839469534,-99.0757914777,413,10374,19.3838654538,-99.0757914777
303,7866,19.4685422903,-99.1248704002,496,12464,19.4684816756,-99.1248704002
109,2858,19.543748171,-99.1227091541,492,12381,19.5437367226,-99.1227091541
55,12997,19.4207502142,-99.0689298092,534,13538,19.4207681236,-99.0689298092
377,9534,19.5038566364,-99.113509121,552,14041,19.5038517259,-99.113509121
332,8609,19.4177663592,-99.0720922109,55,1442,19.4177673651,-99.0720922109
91,2392,19.4688196854,-99.1749075879,204,5213,19.4688365488,-99.1749075879
217,5518,19.420687,-99.1754234,401,10128,19.420674291,-99.1754234
172,4469,19.4395531,-99.1374444,393,9920,19.439593943,-99.1374444
332,8596,19.4277336318,-99.0416915066,125,3224,19.4277241788,-99.0416915066
12,335,19.4166079017,-99.1789478692,16,6516,19.4165792383,-99.1789478692
14,434,19.3635165428,-99.1020359266,226,5797,19.3634990945,-99.1020359266
512,12914,19.3591644909,-98.9945651523,314,8110,19.3591679918,-98.9945651523
405,10209,19.381987964,-99.2394194587,1,3473,19.3820224695,-99.2394194587
613,15693,19.3722766502,-99.0970540096,261,6800,19.3722756708,-99.0970540096
280,13427,19.3748908969,-99.0983408296,79,2123,19.3748809305,-99.0983408296
347,8877,19.3964060449,-99.0556125999,591,15057,19.3964159084,-99.0556125999
266,6974,19.2874566974,-99.1850713063,124,3185,19.2874005731,-99.1850713063
381,9669,19.3457676505,-99.0638048041,425,10801,19.3457771165,-99.0638048041
273,9217,19.4023587445,-99.0976989615,585,14900,19.4022806537,-99.0976989615
462,11631,19.5016043255,-99.0940900138,363,9228,19.5015357925,-99.0940900138
537,14974,19.4820255554,-99.0735398682,72,13958,19.482095975,-99.0735398682
391,9859,19.3067302349,-99.2336633273,162,4235,19.3066528501,-99.2336633273
34,870,19.4078393522,-99.0970477457,585,14901,19.4078044186,-99.0970477457
369,9361,19.3477905185,-99.1646098659,315,8186,19.3478604578,-99.1646098659
10,3631,19.2647247809,-99.1056896718,137,3517,19.2647228946,-99.1056896718
224,5742,19.4452152764,-99.0870961932,16,6542,19.4451482136,-99.0870961932
537,13638,19.4805861268,-99.066462656,310,7995,19.4805977248,-99.066462656
17,9751,19.3420663,-99.1404136,309,7986,19.3420251637,-99.1404136
287,7495,19.4978923581,-99.0964338006,260,6793,19.4979264026,-99.0964338006
262,6880,19.4913352558,-99.1689533535,424,10781,19.4913012159,-99.1689533535
56,1463,19.4724543352,-99.1633728251,204,5212,19.4724573,-99.1633728251
102,15987,19.502547046,-99.2010761825,89,2348,19.5025351,-99.2010761825
398,12263,19.3438413322,-99.0615018814,88,2335,19.3439040692,-99.0615018814
415,10482,19.3641703944,-99.1889587559,187,4799,19.3641810353,-99.1889587559
404,10190,19.3234660945,-99.1734183351,98,10120,19.323416265,-99.1734183351
525,13274,19.3565291342,-99.0867883477,177,4594,19.3565279839,-99.0867883477
333,8624,19.5200013178,-99.1568755107,67,1809,19.5200057016,-99.1568755107
45,1226,19.4904891577,-99.1187456233,59,7748,19.4904718708,-99.1187456233
414,10420,19.3501936268,-99.1628376871,605,15509,19.3501612054,-99.1628376871
613,15710,19.3828349359,-99.0607593919,110,2900,19.382911316,-99.0607593919
302,7841,19.5546874175,-99.050554924,360,9179,19.5546423907,-99.050554924
15,446,19.3420609856,-99.1404233052,17,9751,19.3420663,-99.1404233052
266,6969,19.3047141631,-99.1803415482,198,15993,19.3047806722,-99.1803415482
363,9236,19.6092747541,-99.0250514192,360,9181,19.6093161352,-99.0250514192
627,16190,19.3604964864,-99.0844967667,624,16051,19.3605697436,-99.0844967667
156,4034,19.3129950213,-99.1627629197,635,16323,19.3129583959,-99.1627629197
617,15786,19.4824856856,-99.1065022609,139,14843,19.4824381911,-99.1065022609
576,14680,19.3327869599,-99.2054197197,391,9854,19.332751247,-99.2054197197
35,886,19.2969901134,-99.2319058751,97,2539,19.2969334118,-99.2319058751
249,6450,19.3698682,-99.183534,170,4410,19.3697856662,-99.183534
527,13349,19.4514996,-99.0786962,72,1949,19.4514605556,-99.0786962
